gameIndex,Date,Red,Blue,Win,RRoster,BRoster
9990,2016-03-07,Big Gods,Brave e-Sports,red,Ranger • Leozuxo • Rakin • Luskka • RedBert,Thulz • Freire • Tomate • Sarkis • Cabuloso
9989,2016-03-07,Brave e-Sports,Big Gods,blue,Thulz • Freire • Tomate • Sarkis • Cabuloso,Ranger • Leozuxo • Rakin • Luskka • RedBert
9988,2016-03-07,Big Gods,Brave e-Sports,red,Ranger • Leozuxo • Rakin • Luskka • RedBert,Thulz • Freire • Tomate • Sarkis • Cabuloso
9987,2016-03-07,Brave e-Sports,Big Gods,red,Thulz • Freire • Tomate • Sarkis • Cabuloso,Ranger • Leozuxo • Rakin • Luskka • RedBert
9997,2015-12-06,JAYOB e-Sports,Amigos do 4Landerson,red,SkyBart • Zuao • Goku • Theusma • Professor,element • 4LaN • Vash • TheFoxz • Espeon
9996,2015-12-06,Keyd Warriors,2Kill Gaming,red,BroTher • Bgob • Deoxys • mascot • verfix,Valus • Sephis • Vinhemo • Huxy • Ninja28
9995,2015-12-06,Amigos do 4Landerson,JAYOB e-Sports,blue,element • 4LaN • Vash • TheFoxz • Espeon,SkyBart • Zuao • Goku • Theusma • Professor
9994,2015-12-06,Main Kalista,Big Gods,blue,Vert • Sessh • Chavoso • Kalec • BocaJR,Ranger • Leozuxo • Rakin • Luskka • RedBert
9993,2015-12-06,Santos Dexterity,Brave e-Sports,blue,w0lv • bielz • Fire • EzPrince • WoodBoy,Thulz • KTCHORO • Tomate • Sarkis • Cabuloso
9992,2015-12-06,Keyd Warriors,Amigos do 4Landerson,blue,BroTher • Bgob • Deoxys • mascot • verfix,element • 4LaN • Vash • TheFoxz • Espeon
9991,2015-12-06,Santos Dexterity,Big Gods,blue,w0lv • bielz • Fire • EzPrince • WoodBoy,Ranger • Leozuxo • Rakin • Luskka • RedBert
